source-card,source-number,source-variant,source-rarity,source-quantity,generated-variant-product,generated-plain-product,scp-existing-products,existing-exact-quantity,existing-plain-quantity,existing-base-quantity,missing-quantity,status,recommendation
Bellsprout,001/163,Normal,Common,1,Bellsprout #1,Bellsprout #1,Bellsprout #1,1,1,1,0,covered_exact,do_not_import
Weepinbell,002/163,Normal,Uncommon,1,Weepinbell #2,Weepinbell #2,Weepinbell #2,1,1,1,0,covered_exact,do_not_import
Victreebel,003/163,Normal,Rare,1,Victreebel #3,Victreebel #3,Victreebel #3; Victreebel [Reverse Holo] #3,1,1,2,0,covered_exact,do_not_import
Victreebel,003/163,Reverse Holo,Rare,1,Victreebel [Reverse Holo] #3,Victreebel [Reverse Holo] #3,Victreebel #3; Victreebel [Reverse Holo] #3,1,1,2,0,covered_exact,do_not_import
Cacnea,004/163,Normal,Common,1,Cacnea #4,Cacnea #4,Cacnea #4; Cacnea [Reverse Holo] #4,1,1,2,0,covered_exact,do_not_import
Cacnea,004/163,Reverse Holo,Common,1,Cacnea [Reverse Holo] #4,Cacnea [Reverse Holo] #4,Cacnea #4; Cacnea [Reverse Holo] #4,1,1,2,0,covered_exact,do_not_import
Cacturne,005/163,Normal,Uncommon,1,Cacturne #5,Cacturne #5,Cacturne [Reverse Holo] #5; Cacturne #5,1,1,2,0,covered_exact,do_not_import
Cacturne,005/163,Reverse Holo,Uncommon,1,Cacturne [Reverse Holo] #5,Cacturne [Reverse Holo] #5,Cacturne [Reverse Holo] #5; Cacturne #5,1,1,2,0,covered_exact,do_not_import
Kricketune V,006/163,Normal Holo,Holo Rare V,1,Kricketune V [Holo] #6,Kricketune V #6,Kricketune V #6,0,1,1,0,covered_by_plain_scp_holo_name,do_not_import
Cherubi,007/163,Normal,Common,1,Cherubi #7,Cherubi #7,Cherubi #7,1,1,1,0,covered_exact,do_not_import
Cherrim,008/163,Normal Holo,Rare Holo,1,Cherrim [Holo] #8,Cherrim #8,Cherrim [Holo] #8,1,0,1,0,covered_exact,do_not_import
Carnivine,009/163,Normal,Uncommon,1,Carnivine #9,Carnivine #9,Carnivine #9,1,1,1,0,covered_exact,do_not_import
Durant,010/163,Normal,Uncommon,1,Durant #10,Durant #10,Durant #10,1,1,1,0,covered_exact,do_not_import
Scatterbug,011/163,Normal,Common,1,Scatterbug #11,Scatterbug #11,Scatterbug #11,1,1,1,0,covered_exact,do_not_import
Spewpa,012/163,Normal,Uncommon,1,Spewpa #12,Spewpa #12,Spewpa #12,1,1,1,0,covered_exact,do_not_import
Vivillon,013/163,Normal,Rare,1,Vivillon #13,Vivillon #13,Vivillon #13,1,1,1,0,covered_exact,do_not_import
Fomantis,014/163,Normal,Common,1,Fomantis #14,Fomantis #14,Fomantis #14,1,1,1,0,covered_exact,do_not_import
Lurantis,015/163,Normal,Rare,1,Lurantis #15,Lurantis #15,Lurantis #15; Lurantis [Reverse Holo] #15,1,1,2,0,covered_exact,do_not_import
Lurantis,015/163,Reverse Holo,Rare,1,Lurantis [Reverse Holo] #15,Lurantis [Reverse Holo] #15,Lurantis #15; Lurantis [Reverse Holo] #15,1,1,2,0,covered_exact,do_not_import
Blipbug,017/163,Normal,Common,1,Blipbug #17,Blipbug #17,Blipbug #17,1,1,1,0,covered_exact,do_not_import
Flapple V,018/163,Normal Holo,Holo Rare V,1,Flapple V [Holo] #18,Flapple V #18,Flapple V #18,0,1,1,0,covered_by_plain_scp_holo_name,do_not_import
Flapple VMAX,019/163,Normal Holo,Holo Rare VMAX,1,Flapple VMAX [Holo] #19,Flapple VMAX #19,Flapple VMAX #19,0,1,1,0,covered_by_plain_scp_holo_name,do_not_import
Entei,020/163,Normal Holo,Rare Holo,1,Entei [Holo] #20,Entei #20,Entei #20,0,1,1,0,covered_by_plain_scp_holo_name,do_not_import
Victini VMAX,022/163,Normal Holo,Holo Rare VMAX,1,Victini VMAX [Holo] #22,Victini VMAX #22,Victini VMAX #22,0,1,1,0,covered_by_plain_scp_holo_name,do_not_import
Tepig,023/163,Normal,Common,1,Tepig #23,Tepig #23,Tepig [Reverse Holo] #23; Tepig #23,1,1,2,0,covered_exact,do_not_import
Tepig,023/163,Reverse Holo,Common,1,Tepig [Reverse Holo] #23,Tepig [Reverse Holo] #23,Tepig [Reverse Holo] #23; Tepig #23,1,1,2,0,covered_exact,do_not_import
Pignite,024/163,Normal,Uncommon,1,Pignite #24,Pignite #24,Pignite [Reverse Holo] #24; Pignite #24,1,1,2,0,covered_exact,do_not_import
Pignite,024/163,Reverse Holo,Uncommon,1,Pignite [Reverse Holo] #24,Pignite [Reverse Holo] #24,Pignite [Reverse Holo] #24; Pignite #24,1,1,2,0,covered_exact,do_not_import
Heatmor,026/163,Normal,Uncommon,1,Heatmor #26,Heatmor #26,Heatmor #26,1,1,1,0,covered_exact,do_not_import
Salandit,027/163,Normal,Common,1,Salandit #27,Salandit #27,Salandit #27,1,1,1,0,covered_exact,do_not_import
Salazzle,028/163,Normal,Rare,1,Salazzle #28,Salazzle #28,Salazzle #28,1,1,1,0,covered_exact,do_not_import
Salazzle,028/163,Reverse Holo,Rare,1,Salazzle [Reverse Holo] #28,Salazzle [Reverse Holo] #28,Salazzle #28,0,0,1,1,variant_quantity_gap,import_quantity_gap
Sizzlipede,029/163,Normal,Common,1,Sizzlipede #29,Sizzlipede #29,Sizzlipede #29,1,1,1,0,covered_exact,do_not_import
Centiskorch,030/163,Normal,Rare,1,Centiskorch #30,Centiskorch #30,Centiskorch #30,1,1,1,0,covered_exact,do_not_import
Horsea,031/163,Normal,Common,1,Horsea #31,Horsea #31,Horsea #31,1,1,1,0,covered_exact,do_not_import
Seadra,032/163,Normal,Uncommon,1,Seadra #32,Seadra #32,Seadra #32,1,1,1,0,covered_exact,do_not_import
Kingdra,033/163,Reverse Holo,Rare Holo,1,Kingdra [Reverse Holo] #33,Kingdra [Reverse Holo] #33,Kingdra [Reverse Holo] #33,1,1,1,0,covered_exact,do_not_import
Galarian Mr. Mime,034/163,Normal,Common,1,Galarian Mr. Mime #34,Galarian Mr. Mime #34,Galarian Mr. Mime #34,1,1,1,0,covered_exact,do_not_import
Remoraid,036/163,Normal,Common,1,Remoraid #36,Remoraid #36,Remoraid #36,1,1,1,0,covered_exact,do_not_import
Corphish,038/163,Normal,Common,1,Corphish #38,Corphish #38,Corphish #38,1,1,1,0,covered_exact,do_not_import
Crawdaunt,039/163,Normal,Uncommon,1,Crawdaunt #39,Crawdaunt #39,Crawdaunt [Reverse Holo] #39; Crawdaunt #39,1,1,2,0,covered_exact,do_not_import
Crawdaunt,039/163,Reverse Holo,Uncommon,1,Crawdaunt [Reverse Holo] #39,Crawdaunt [Reverse Holo] #39,Crawdaunt [Reverse Holo] #39; Crawdaunt #39,1,1,2,0,covered_exact,do_not_import
Frillish,041/163,Normal,Common,1,Frillish #41,Frillish #41,Frillish #41,1,1,1,0,covered_exact,do_not_import
Jellicent,042/163,Normal,Rare,1,Jellicent #42,Jellicent #42,Jellicent #42,1,1,1,0,covered_exact,do_not_import
Bruxish,043/163,Normal,Uncommon,1,Bruxish #43,Bruxish #43,Bruxish #43,1,1,1,0,covered_exact,do_not_import
Electabuzz,044/163,Normal,Common,1,Electabuzz #44,Electabuzz #44,Electabuzz #44,1,1,1,0,covered_exact,do_not_import
Electivire,045/163,Normal,Rare,1,Electivire #45,Electivire #45,Electivire #45,1,1,1,0,covered_exact,do_not_import
Shinx,046/163,Normal,Common,1,Shinx #46,Shinx #46,Shinx #46,1,1,1,0,covered_exact,do_not_import
Luxio,047/163,Normal,Uncommon,1,Luxio #47,Luxio #47,Luxio #47,1,1,1,0,covered_exact,do_not_import
Luxray,048/163,Normal Holo,Rare Holo,1,Luxray [Holo] #48,Luxray #48,Luxray #48,0,1,1,0,covered_by_plain_scp_holo_name,do_not_import
Pachirisu,049/163,Normal,Common,1,Pachirisu #49,Pachirisu #49,Pachirisu #49; Pachirisu [Reverse Holo] #49,1,1,2,0,covered_exact,do_not_import
Pachirisu,049/163,Reverse Holo,Common,1,Pachirisu [Reverse Holo] #49,Pachirisu [Reverse Holo] #49,Pachirisu #49; Pachirisu [Reverse Holo] #49,1,1,2,0,covered_exact,do_not_import
Yamper,052/163,Normal,Common,1,Yamper #52,Yamper #52,Yamper #52,1,1,1,0,covered_exact,do_not_import
Boltund,053/163,Reverse Holo,Rare,1,Boltund [Reverse Holo] #53,Boltund [Reverse Holo] #53,Boltund [Reverse Holo] #53,1,1,1,0,covered_exact,do_not_import
Galarian Slowpoke,054/163,Normal,Common,1,Galarian Slowpoke #54,Galarian Slowpoke #54,Galarian Slowpoke [Reverse Holo] #54; Galarian Slowpoke #54,1,1,2,0,covered_exact,do_not_import
Galarian Slowpoke,054/163,Reverse Holo,Common,1,Galarian Slowpoke [Reverse Holo] #54,Galarian Slowpoke [Reverse Holo] #54,Galarian Slowpoke [Reverse Holo] #54; Galarian Slowpoke #54,1,1,2,0,covered_exact,do_not_import
Spoink,055/163,Normal,Common,1,Spoink #55,Spoink #55,Spoink #55,1,1,1,0,covered_exact,do_not_import
Grumpig,056/163,Normal,Uncommon,1,Grumpig #56,Grumpig #56,Grumpig #56; Grumpig [Reverse Holo] #56,1,1,2,0,covered_exact,do_not_import
Grumpig,056/163,Reverse Holo,Uncommon,1,Grumpig [Reverse Holo] #56,Grumpig [Reverse Holo] #56,Grumpig #56; Grumpig [Reverse Holo] #56,1,1,2,0,covered_exact,do_not_import
Baltoy,057/163,Normal,Common,1,Baltoy #57,Baltoy #57,Baltoy #57,1,1,1,0,covered_exact,do_not_import
Chimecho,059/163,Normal,Common,1,Chimecho #59,Chimecho #59,Chimecho #59; Chimecho [Reverse Holo] #59,1,1,2,0,covered_exact,do_not_import
Chimecho,059/163,Reverse Holo,Common,1,Chimecho [Reverse Holo] #59,Chimecho [Reverse Holo] #59,Chimecho #59; Chimecho [Reverse Holo] #59,1,1,2,0,covered_exact,do_not_import
Espurr,060/163,Normal,Common,1,Espurr #60,Espurr #60,Espurr #60,1,1,1,0,covered_exact,do_not_import
