source-expansion,source-card-name,source-card-number,source-variant,source-rarity,generated-set,generated-product-name,identity,source-quantity,existing-quantity
Ascended Heroes,Erika's Oddish,001/217,Normal,Common,Pokemon Ascended Heroes,Erika's Oddish #1,ascended heroes | erika s oddish | 1 |  | ungraded,1,0
Ascended Heroes,Erika's Gloom,002/217,Normal,Uncommon,Pokemon Ascended Heroes,Erika's Gloom #2,ascended heroes | erika s gloom | 2 |  | ungraded,1,0
Ascended Heroes,Erika's Vileplume ex,003/217,Normal Holo,Double Rare,Pokemon Ascended Heroes,Erika's Vileplume ex [Holo] #3,ascended heroes | erika s vileplume ex | 3 | holo | ungraded,1,0
Ascended Heroes,Erika's Bellsprout,004/217,Normal,Common,Pokemon Ascended Heroes,Erika's Bellsprout #4,ascended heroes | erika s bellsprout | 4 |  | ungraded,1,0
Ascended Heroes,Erika's Weepinbell,005/217,Normal,Uncommon,Pokemon Ascended Heroes,Erika's Weepinbell #5,ascended heroes | erika s weepinbell | 5 |  | ungraded,1,0
Ascended Heroes,Erika's Tangela,007/217,Normal,Common,Pokemon Ascended Heroes,Erika's Tangela #7,ascended heroes | erika s tangela | 7 |  | ungraded,1,0
Ascended Heroes,Erika's Tangela,007/217,Poké Ball Reverse Holo,Common,Pokemon Ascended Heroes,Erika's Tangela [Poke Ball] #7,ascended heroes | erika s tangela | 7 | poke ball | ungraded,1,0
Ascended Heroes,Chikorita,008/217,Normal,Common,Pokemon Ascended Heroes,Chikorita #8,ascended heroes | chikorita | 8 |  | ungraded,1,0
Ascended Heroes,Chikorita,008/217,Friend Ball Reverse Holo,Common,Pokemon Ascended Heroes,Chikorita [Friend Ball] #8,ascended heroes | chikorita | 8 | friend ball | ungraded,1,0
Ascended Heroes,Bayleef,009/217,Normal,Uncommon,Pokemon Ascended Heroes,Bayleef #9,ascended heroes | bayleef | 9 |  | ungraded,1,0
Ascended Heroes,Wurmple,011/217,Normal,Common,Pokemon Ascended Heroes,Wurmple #11,ascended heroes | wurmple | 11 |  | ungraded,1,0
Ascended Heroes,Beautifly,013/217,Normal,Uncommon,Pokemon Ascended Heroes,Beautifly #13,ascended heroes | beautifly | 13 |  | ungraded,1,0
Ascended Heroes,Cascoon,014/217,Normal,Common,Pokemon Ascended Heroes,Cascoon #14,ascended heroes | cascoon | 14 |  | ungraded,1,0
Ascended Heroes,Dustox,015/217,Normal,Uncommon,Pokemon Ascended Heroes,Dustox #15,ascended heroes | dustox | 15 |  | ungraded,1,0
Ascended Heroes,Budew,016/217,Normal,Common,Pokemon Ascended Heroes,Budew #16,ascended heroes | budew | 16 |  | ungraded,1,0
Ascended Heroes,Grubbin,017/217,Normal,Common,Pokemon Ascended Heroes,Grubbin #17,ascended heroes | grubbin | 17 |  | ungraded,1,0
Ascended Heroes,Team Rocket's Tarountula,018/217,Normal,Common,Pokemon Ascended Heroes,Team Rocket's Tarountula #18,ascended heroes | team rocket s tarountula | 18 |  | ungraded,1,0
Ascended Heroes,Team Rocket's Spidops,019/217,Normal Holo,Rare,Pokemon Ascended Heroes,Team Rocket's Spidops [Holo] #19,ascended heroes | team rocket s spidops | 19 | holo | ungraded,1,0
Ascended Heroes,Charmander,020/217,Normal,Common,Pokemon Ascended Heroes,Charmander #20,ascended heroes | charmander | 20 |  | ungraded,1,0
Ascended Heroes,Charmander,020/217,Friend Ball Reverse Holo,Common,Pokemon Ascended Heroes,Charmander [Friend Ball] #20,ascended heroes | charmander | 20 | friend ball | ungraded,1,0
Ascended Heroes,Charmeleon,021/217,Normal,Uncommon,Pokemon Ascended Heroes,Charmeleon #21,ascended heroes | charmeleon | 21 |  | ungraded,1,0
Ascended Heroes,Ethan's Slugma,023/217,Normal,Common,Pokemon Ascended Heroes,Ethan's Slugma #23,ascended heroes | ethan s slugma | 23 |  | ungraded,1,0
Ascended Heroes,Ethan's Magcargo,024/217,Normal Holo,Rare,Pokemon Ascended Heroes,Ethan's Magcargo [Holo] #24,ascended heroes | ethan s magcargo | 24 | holo | ungraded,1,0
Ascended Heroes,Entei,025/217,Normal Holo,Rare,Pokemon Ascended Heroes,Entei [Holo] #25,ascended heroes | entei | 25 | holo | ungraded,1,0
Ascended Heroes,Ethan's Ho-Oh ex,026/217,Normal Holo,Double Rare,Pokemon Ascended Heroes,Ethan's Ho-Oh ex [Holo] #26,ascended heroes | ethan s ho oh ex | 26 | holo | ungraded,1,0
Ascended Heroes,Numel,027/217,Normal,Common,Pokemon Ascended Heroes,Numel #27,ascended heroes | numel | 27 |  | ungraded,1,0
Ascended Heroes,Tepig,029/217,Normal,Common,Pokemon Ascended Heroes,Tepig #29,ascended heroes | tepig | 29 |  | ungraded,1,0
Ascended Heroes,Tepig,029/217,Energy Reverse Holo,Common,Pokemon Ascended Heroes,Tepig [Reverse Holo] #29,ascended heroes | tepig | 29 | reverse holo | ungraded,1,0
Ascended Heroes,Pignite,030/217,Normal,Uncommon,Pokemon Ascended Heroes,Pignite #30,ascended heroes | pignite | 30 |  | ungraded,1,0
Ascended Heroes,N's Darumaka,032/217,Normal,Common,Pokemon Ascended Heroes,N's Darumaka #32,ascended heroes | n s darumaka | 32 |  | ungraded,1,0
Ascended Heroes,N's Darmanitan,033/217,Normal,Uncommon,Pokemon Ascended Heroes,N's Darmanitan #33,ascended heroes | n s darmanitan | 33 |  | ungraded,1,0
Ascended Heroes,Salandit,034/217,Normal,Common,Pokemon Ascended Heroes,Salandit #34,ascended heroes | salandit | 34 |  | ungraded,1,0
Ascended Heroes,Scorbunny,036/217,Normal,Common,Pokemon Ascended Heroes,Scorbunny #36,ascended heroes | scorbunny | 36 |  | ungraded,1,0
Ascended Heroes,Raboot,037/217,Normal,Common,Pokemon Ascended Heroes,Raboot #37,ascended heroes | raboot | 37 |  | ungraded,1,0
Ascended Heroes,Psyduck,039/217,Normal,Common,Pokemon Ascended Heroes,Psyduck #39,ascended heroes | psyduck | 39 |  | ungraded,1,0
Ascended Heroes,Golduck,040/217,Normal,Uncommon,Pokemon Ascended Heroes,Golduck #40,ascended heroes | golduck | 40 |  | ungraded,1,0
Ascended Heroes,Totodile,041/217,Normal,Common,Pokemon Ascended Heroes,Totodile #41,ascended heroes | totodile | 41 |  | ungraded,1,0
Ascended Heroes,Sneasel,044/217,Normal,Common,Pokemon Ascended Heroes,Sneasel #44,ascended heroes | sneasel | 44 |  | ungraded,1,0
Ascended Heroes,Weavile,045/217,Normal,Uncommon,Pokemon Ascended Heroes,Weavile #45,ascended heroes | weavile | 45 |  | ungraded,1,0
Ascended Heroes,Snorunt,046/217,Normal,Common,Pokemon Ascended Heroes,Snorunt #46,ascended heroes | snorunt | 46 |  | ungraded,1,0
Ascended Heroes,N's Vanillite,049/217,Normal,Common,Pokemon Ascended Heroes,N's Vanillite #49,ascended heroes | n s vanillite | 49 |  | ungraded,1,0
Ascended Heroes,N's Vanillish,050/217,Normal,Common,Pokemon Ascended Heroes,N's Vanillish #50,ascended heroes | n s vanillish | 50 |  | ungraded,1,0
Ascended Heroes,N's Vanillish,050/217,Poké Ball Reverse Holo,Common,Pokemon Ascended Heroes,N's Vanillish [Poke Ball] #50,ascended heroes | n s vanillish | 50 | poke ball | ungraded,1,0
Ascended Heroes,N's Vanilluxe,051/217,Normal,Uncommon,Pokemon Ascended Heroes,N's Vanilluxe #51,ascended heroes | n s vanilluxe | 51 |  | ungraded,1,0
Ascended Heroes,Snom,052/217,Normal,Common,Pokemon Ascended Heroes,Snom #52,ascended heroes | snom | 52 |  | ungraded,1,0
Ascended Heroes,Frosmoth,053/217,Normal,Uncommon,Pokemon Ascended Heroes,Frosmoth #53,ascended heroes | frosmoth | 53 |  | ungraded,1,0
Ascended Heroes,Frosmoth,053/217,Energy Reverse Holo,Uncommon,Pokemon Ascended Heroes,Frosmoth [Reverse Holo] #53,ascended heroes | frosmoth | 53 | reverse holo | ungraded,1,0
Ascended Heroes,Glastrier,054/217,Normal,Uncommon,Pokemon Ascended Heroes,Glastrier #54,ascended heroes | glastrier | 54 |  | ungraded,1,0
