id,product-name,console-name,price-in-pennies,include-string,condition-string,sku,notes,cost-basis-in-pennies,quantity,date-entered,date-purchased,grading-company,grading-cert-id,folder
,Darkness Energy,Pokemon 2022 Energies,14,Ungraded,Normal wear,,From TCGcollector: 2022 Energies; ; Non-holo; ,0,1,2026-08-23,,,,
,Darkness Energy [Mirror Holo],Pokemon 2022 Energies,39,Ungraded,Normal wear,,From TCGcollector: 2022 Energies; ; Mirror Holo; ,0,1,2026-08-23,,,,
,Fighting Energy,Pokemon 2022 Energies,15,Ungraded,Normal wear,,From TCGcollector: 2022 Energies; ; Non-holo; ,0,1,2026-08-23,,,,
,Fire Energy,Pokemon 2022 Energies,13,Ungraded,Normal wear,,From TCGcollector: 2022 Energies; ; Non-holo; ,0,1,2026-08-23,,,,
,Grass Energy,Pokemon 2022 Energies,12,Ungraded,Normal wear,,From TCGcollector: 2022 Energies; ; Non-holo; ,0,1,2026-08-23,,,,
,Lightning Energy,Pokemon 2022 Energies,14,Ungraded,Normal wear,,From TCGcollector: 2022 Energies; ; Non-holo; ,0,1,2026-08-23,,,,
,Metal Energy,Pokemon 2022 Energies,12,Ungraded,Normal wear,,From TCGcollector: 2022 Energies; ; Non-holo; ,0,1,2026-08-23,,,,
,Psychic Energy,Pokemon 2022 Energies,15,Ungraded,Normal wear,,From TCGcollector: 2022 Energies; ; Non-holo; ,0,1,2026-08-23,,,,
,Water Energy,Pokemon 2022 Energies,16,Ungraded,Normal wear,,From TCGcollector: 2022 Energies; ; Non-holo; ,0,1,2026-08-23,,,,
,Air Balloon #181,Pokemon Ascended Heroes,15,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 181/217; Normal; Uncommon,0,1,2026-08-23,,,,
,Anthea & Concordia #182,Pokemon Ascended Heroes,12,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 182/217; Normal; Uncommon,0,1,2026-08-23,,,,
,Banette #91,Pokemon Ascended Heroes,4,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 091/217; Normal; Uncommon,0,1,2026-08-23,,,,
,Bayleef #9,Pokemon Ascended Heroes,22,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 009/217; Normal; Uncommon,0,1,2026-08-23,,,,
,Beautifly #13,Pokemon Ascended Heroes,7,Ungraded,Normal wear,,From TCGcollector: Ascended Heroes; 013/217; Normal; Uncommon,0,1,2026-08-23,,,,
